nombre,descripcion,precio,categoria,marca,modelo,sku,imagenUrl,puntuacionEco
Lavadora Sostenible EcoMax 12kg,Lavadora de alta eficiencia energetica con tecnologia eco-friendly,1299.99,Electrodomesticos,EcoMax,EM-LAV-12KG,LAV-12KG-001,,9.2
Panel Solar Portatil 100W,Panel solar portatil para camping y emergencias,299.99,Energia Renovable,SolarTech,ST-PAN-100W,PAN-100W-001,,9.8
Compostera Domestica 50L,Compostera de 50 litros fabricada con plastico reciclado,89.99,Jardineria Organica,EcoGarden,EG-COMP-50L,COMP-50L-001,,9.5
Bicicleta Electrica Urbana EcoRide,Bicicleta electrica urbana con bateria de litio,2499.99,Transporte Sostenible,EcoRide,ER-BIC-URB,BIC-URB-001,,9.7
Detergente Ecologico Multi-Uso 2L,Detergente biodegradable para multiples usos,24.99,Limpieza Ecologica,EcoClean,EC-DET-2L,DET-2L-001,,9.3
Termo Aislante de Bambu 500ml,Termo fabricado con bambu sostenible,45.99,Jardineria Organica,BambooLife,BL-TER-500ML,TER-500ML-001,,9.1
Lampara LED Solar de Jardin,Lampara solar para jardin con sensor de movimiento,79.99,Energia Renovable,SolarLight,SL-LAM-JARD,LAM-JARD-001,,9.4
Set de Cubiertos de Bambu 6 Personas,Set completo de cubiertos de bambu para 6 personas,89.99,Jardineria Organica,BambooKitchen,BK-CUB-6P,CUB-6P-001,,9.6
Aceite Esencial de Lavanda Organico 30ml,Aceite esencial de lavanda 100% organico,18.99,Jardineria Organica,OrganicEssence,OE-LAV-30ML,LAV-30ML-001,,9.0
Bolsa de Compras Reutilizable Plegable,Bolsa de compras plegable y reutilizable,12.99,Accesorios Eco,EcoBag,EB-BOL-PLEG,BOL-PLEG-001,,9.2 